CpuID,cpuPercent,cpuUsed,fkMaquina
2,6.9,NULL,1
3,1.9,NULL,1
4,4.3,NULL,1
5,1.6,NULL,1
6,1.6,NULL,1
7,1.6,NULL,1
8,1.6,NULL,1
9,2.3,NULL,1
10,1.6,NULL,1
11,2,NULL,1
12,1.5,NULL,1
13,2,NULL,1
14,3.1,NULL,1
15,2.3,NULL,1
16,1.6,NULL,1
17,2,NULL,1
18,3.5,NULL,1
19,15.6,NULL,1
20,16.7,NULL,1
21,9,NULL,1
22,22.2,NULL,1
23,7,NULL,1
24,5.4,NULL,1
25,7.3,NULL,1
26,13.8,NULL,1
27,6.3,NULL,1
28,8.2,NULL,1
29,7.9,NULL,1
30,12.5,NULL,1
31,5.8,NULL,1
32,9.4,NULL,1
33,6.6,NULL,1
34,11,NULL,1
35,12.5,NULL,1
36,8.5,NULL,1
37,8.2,NULL,1
38,17.4,NULL,1
39,10.2,NULL,1
40,12.8,NULL,1
41,9.4,NULL,1
42,9.7,NULL,1
43,15.2,NULL,1
44,14.5,NULL,1
45,9.7,NULL,1
46,10.8,NULL,1
47,9.3,NULL,1
48,2.7,NULL,1
49,7.7,NULL,1
50,5.1,NULL,1
51,9,NULL,1
52,16.4,NULL,1
54,2.7,NULL,2
55,0.8,NULL,2
56,4.2,NULL,2
57,1.9,NULL,1
58,1.6,NULL,1
59,2,NULL,1
60,2.3,NULL,1
61,1.6,NULL,1
62,1.6,NULL,1
63,1.2,NULL,1
64,1.6,NULL,1
65,1.6,NULL,1
66,1.2,NULL,1
67,2,NULL,1
68,1.6,NULL,1
69,1.6,NULL,1
70,1.9,NULL,1
71,2.7,NULL,1
72,2.3,NULL,1
73,2.3,NULL,1
74,1.9,NULL,1
75,3.1,NULL,3
76,1.2,NULL,3
77,2.7,NULL,3
78,16.4,NULL,3
79,12.6,NULL,3
80,14.2,NULL,3
81,15.2,NULL,3
82,11.5,NULL,3
83,13.6,NULL,3
84,NULL,6394028032,1
85,NULL,6387802112,1
86,NULL,6387777536,1
87,NULL,6387789824,1
88,NULL,6387793920,1
89,NULL,6387793920,1
90,NULL,6387793920,1
91,NULL,6387793920,1
92,NULL,6387793920,1
93,NULL,6387793920,1
94,NULL,6387740672,1
95,NULL,6387736576,1
96,NULL,6387736576,1
97,NULL,6387736576,1
98,NULL,6387736576,1
99,NULL,6387744768,1
100,NULL,6387744768,1
101,NULL,6387695616,1
102,NULL,6380826624,1
103,NULL,6380826624,1
104,NULL,6380826624,1
